state,state_price
Puerto Rico,606644
Virgin Islands,1287789
Massachusetts,746127
Connecticut,704080
New Jersey,526172
New York,974665
New Hampshire,582678
Vermont,554543
Rhode Island,485422
Wyoming,729709
Maine,502221
Georgia,418108
Pennsylvania,358630
West Virginia,255126
Delaware,430869
Ohio,247196
California,1073536
Maryland,473532
Virginia,521038
Colorado,902351
District of Columbia,886537
Wisconsin,339037
North Carolina,429164
Kentucky,301373
South Carolina,455676
Tennessee,485804
Mississippi,292582
Alabama,355144
Florida,638577
Texas,448766
Missouri,305931
Arkansas,334000
Louisiana,324564
Indiana,330271
Illinois,362597
Michigan,325852
Iowa,257874
Minnesota,397335
South Dakota,422293
Nebraska,321152
North Dakota,321324
Montana,891220
Idaho,680973
Kansas,290595
Oklahoma,285610
New Mexico,405652
Utah,902015
Nevada,733336
Washington,702289
Oregon,612866
Arizona,547698
Hawaii,1368321
Guam,533560
Alaska,494650
